Mortgage
monthlyPayment
int
int, int, int
1000, 50, 1  	 	86  	 	Passed  	
	2000000000, 6000, 1 		671844808 		Passed 	
	1000000, 1000000, 1000 		988143 		Passed 	
	1000000, 129, 30 		10868 		Passed 	
	100, 1, 1000 		2 		Passed 	
	618083873, 932377, 462 		610230012 		Passed 	
	37007334, 497647, 389 		36135971 		Passed 	
	910806859, 106489, 245 		818564691 		Passed 	
	620972289, 447604, 815 		604759055 		Passed 	
	1964106774, 57176, 469 		1623392057 		Passed 	
	396495408, 965433, 303 		391627612 		Passed 	
	1303970803, 751105, 470 		1283465566 		Passed 	
	560290889, 94158, 606 		496956137 		Passed 	
	1193263809, 406909, 59 		1159081766 		Passed 	
	790990757, 569741, 255 		774674409 		Passed 	
	1878848491, 765597, 345 		1849853804 		Passed 	
	1767005838, 159220, 890 		1643164757 		Passed 	
	160606687, 352973, 961 		155326077 		Passed 	
	468903894, 557830, 713 		459029289 		Passed 	
	622058302, 712197, 633 		611750749 		Passed 	
	804652054, 4523, 437 		220265161 		Passed 	
	317486105, 626173, 530 		311516199 		Passed 	
	1266328720, 680421, 78 		1244382615 		Passed 	
	133678780, 660664, 497 		131294016 		Passed 	
	180769391, 462677, 325 		176199478 		Passed 	
	645338021, 625478, 616 		633190063 		Passed 	
	534515614, 800188, 584 		526618197 		Passed 	
	705069909, 347802, 229 		681554646 		Passed 	
	614051902, 656351, 585 		603026823 		Passed 	
	721647343, 325968, 970 		696024302 		Passed 	
	1214770213, 843509, 161 		1197730951 		Passed 	
	925650314, 407094, 289 		899145989 		Passed 	
	1992772528, 53725, 966 		1628934258 		Passed 	
	327822429, 896518, 882 		323492445 		Passed 	
	1280563618, 750707, 121 		1260415956 		Passed 	
	1114588932, 332313, 22 		1075743268 		Passed 	
	61085060, 497791, 148 		59647176 		Passed 	
	239835955, 918655, 492 		236743476 		Passed 	
	252618379, 388703, 450 		245053124 		Passed 	
	1157290063, 733456, 947 		1138660553 		Passed 	
	259665595, 69925, 161 		221630965 		Passed 	
	929938417, 686154, 508 		913954464 		Passed 	
	175138409, 695122, 926 		172166276 		Passed 	
	1495989673, 426673, 394 		1455066535 		Passed 	
	1041972280, 681297, 337 		1023937200 		Passed 	
	1382590995, 11132, 41 		665355481 		Passed 	
	265538953, 562037, 137 		259987974 		Passed 	
	1981832936, 758911, 487 		1950983727 		Passed 	
	512042040, 323687, 861 		493737774 		Passed 	
	163543995, 973173, 738 		161551931 		Passed 	
	1511988723, 580548, 752 		1481368648 		Passed 	
	1490110002, 305117, 39 		1433722865 		Passed 	
	1463035902, 147540, 281 		1352991833 		Passed 	
	1378407427, 121376, 802 		1254390445 		Passed 	
	1939524178, 2486, 309 		332849450 		Passed 	
	182518, 88, 197 		1330 		Passed 	
	87128, 96, 279 		693 		Passed 	
	184597, 40, 497 		615 		Passed 	
	72135, 69, 268 		414 		Passed 	
	179135, 74, 12 		1870 		Passed 	
	48826, 32, 424 		131 		Passed 	
	41875, 84, 677 		293 		Passed 	
	177616, 57, 625 		841 		Passed 	
	77336, 83, 661 		533 		Passed 	
	13115, 25, 82 		32 		Passed 	
	187890, 49, 103 		770 		Passed 	
	164227, 44, 706 		601 		Passed 	
	138709, 23, 280 		267 		Passed 	
	9303, 82, 1000 		65 		Passed 	
	14512, 15, 310 		20 		Passed 	
	151273, 73, 895 		916 		Passed 	
	127121, 6, 846 		65 		Passed 	
	143038, 65, 879 		772 		Passed 	
	126061, 53, 955 		556 		Passed 	
	113753, 76, 387 		717 		Passed 	
	1999999999, 1000000, 1 		1976284585 		Passed 	
	2000000000, 6000, 1 		671844808 		Passed 	
	20000000, 46, 999 		76375 		Passed 	
	1000000, 1000000, 1000 		988143 		Passed 	
	1999999999, 1000000, 1 		1976284585 		Passed 	
	1999999997, 100000, 1 		1785714284 		Passed 	
	1000, 50, 1 		86 		Passed 	
	3948234, 984, 73 		299221 		Passed 	
	2000000000, 1, 1000 		263648 		Passed

