FairWorkload
getMostWork
int
vector<int>, int
 	{10, 20, 30, 40, 50, 60, 70, 80, 90}, 3  	 	170  	 	Passed  	
	{10, 20, 30, 40, 50, 60, 70, 80, 90}, 5 		110 		Passed 	
	{568, 712, 412, 231, 241, 393, 865, 287, 128, 457, 238, 98, 980, 23, 782}, 4 		1785 		Passed 	
	{1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1000}, 2 		1000 		Passed 	
	{50, 50, 50, 50, 50, 50, 50}, 2 		200 		Passed 	
	{1, 1, 1, 1, 100}, 5 		100 		Passed 	
	{950, 650, 250, 250, 350, 100, 650, 150, 150, 700}, 6 		950 		Passed 	
	{689, 516, 776, 244, 991, 797}, 5 		1020 		Passed 	
	{444, 976, 369}, 1 		1789 		Passed 	
	{845, 335, 950, 324, 345, 558}, 2 		2130 		Passed 	
	{208, 916, 724, 185, 33, 292, 792, 23, 720}, 1 		3893 		Passed 	
	{961, 37, 126, 508, 247, 572, 286}, 3 		961 		Passed 	
	{496, 477, 832, 670, 367, 231, 36, 741, 648, 259, 773, 557, 784}, 5 		1680 		Passed 	
	{962, 400, 598, 497, 873, 671, 465, 372, 922, 965, 645}, 5 		1759 		Passed 	
	{646, 321, 347, 684, 273, 718, 429, 842, 559, 893, 717, 971}, 2 		3982 		Passed 	
	{101, 653, 661, 310, 977}, 5 		977 		Passed 	
	{669, 331}, 1 		1000 		Passed 	
	{64, 498, 364, 970, 901, 352, 289, 76, 67, 805, 471, 787, 983, 649}, 8 		1253 		Passed 	
	{613, 723, 680, 518, 727, 60, 495, 322, 707, 94, 582, 755, 410, 340}, 7 		1336 		Passed 	
	{759, 746, 460, 92, 283, 739, 502, 501, 980, 86, 212, 276, 306, 571, 940}, 8 		1206 		Passed 	
	{30, 142, 706, 67, 303, 474, 930, 959, 325, 14, 995, 103, 113, 433, 564}, 8 		995 		Passed 	
	{320, 543, 187, 87, 710, 653, 333, 135, 674, 54, 739, 528, 930, 807, 503}, 8 		1267 		Passed 	
	{261, 575, 597, 217, 623, 620, 11, 946, 912, 575, 8, 728, 244, 248, 802}, 7 		1311 		Passed 	
	{722, 235, 642, 251, 105, 860, 532, 980, 483, 256, 226, 256, 799, 761, 200}, 9 		980 		Passed 	
	{10, 20, 30, 40, 50, 60, 70, 80, 90}, 3 		170 		Passed 	
	{1000, 1, 1, 1, 1, 1, 1, 1, 1, 1}, 4 		1000 		Passed 	
	{100, 1, 1, 1, 1}, 5 		100 		Passed 	
	{1, 1, 1, 1, 1, 1, 1, 1000}, 3 		1000 		Passed 	
	{950, 650, 250, 250, 350, 100, 650, 150, 150, 700, 200, 170, 320, 100}, 7 		950 		Passed

